match_id,battle_id,order,camp,type,hero
2026011403,1222656528_9_1768402179,6,2,pick,狂铁
2026011403,1222656528_9_1768402179,7,1,pick,关羽
2026011403,1222656528_9_1768402179,8,1,pick,戈娅
2026011403,1222656528_9_1768402179,9,2,pick,太乙真人
2026011403,1222656528_9_1768402179,10,2,ban,元流之子(坦克)
2026011403,1222656528_9_1768402179,11,1,ban,宫本武藏
2026011403,1222656528_9_1768402179,12,2,ban,少司缘
2026011403,1222656528_9_1768402179,13,1,ban,西施
2026011403,1222656528_9_1768402179,14,2,ban,大司命
2026011403,1222656528_9_1768402179,15,1,ban,夏侯惇
2026011403,1222656528_9_1768402179,16,2,pick,暃
2026011403,1222656528_9_1768402179,17,1,pick,云缨
2026011403,1222656528_9_1768402179,18,1,pick,廉颇
2026011403,1222656528_9_1768402179,19,2,pick,甄姬
2026012403,48251408_50_1769262469,0,1,ban,关羽
2026012403,48251408_50_1769262469,1,2,ban,鲁班大师
2026012403,48251408_50_1769262469,2,1,ban,空空儿
2026012403,48251408_50_1769262469,3,2,ban,盾山
2026012403,48251408_50_1769262469,4,1,pick,狂铁
2026012403,48251408_50_1769262469,5,2,pick,戈娅
2026012403,48251408_50_1769262469,6,2,pick,夏洛特
2026012403,48251408_50_1769262469,7,1,pick,公孙离
2026012403,48251408_50_1769262469,8,1,pick,少司缘
2026012403,48251408_50_1769262469,9,2,pick,女娲
2026012403,48251408_50_1769262469,10,2,ban,镜
2026012403,48251408_50_1769262469,11,1,ban,张良
2026012403,48251408_50_1769262469,12,2,ban,宫本武藏
2026012403,48251408_50_1769262469,13,1,ban,张飞
2026012403,48251408_50_1769262469,14,2,ban,沈梦溪
2026012403,48251408_50_1769262469,15,1,ban,元流之子(坦克)
2026012403,48251408_50_1769262469,16,2,pick,阿古朵
2026012403,48251408_50_1769262469,17,1,pick,马超
2026012403,48251408_50_1769262469,18,1,pick,杨玉环
2026012403,48251408_50_1769262469,19,2,pick,墨子
2026011603,836780560_6_1768569944,0,1,ban,盾山
2026011603,836780560_6_1768569944,1,2,ban,蚩奼
2026011603,836780560_6_1768569944,2,1,ban,元流之子(辅助)
2026011603,836780560_6_1768569944,3,2,ban,鲁班大师
2026011603,836780560_6_1768569944,4,1,pick,苏烈
2026011603,836780560_6_1768569944,5,2,pick,沈梦溪
2026011603,836780560_6_1768569944,6,2,pick,张飞
2026011603,836780560_6_1768569944,7,1,pick,苍
2026011603,836780560_6_1768569944,8,1,pick,大司命
2026011603,836780560_6_1768569944,9,2,pick,阿古朵
2026011603,836780560_6_1768569944,10,2,ban,海诺
2026011603,836780560_6_1768569944,11,1,ban,戈娅
2026011603,836780560_6_1768569944,12,2,ban,不知火舞
2026011603,836780560_6_1768569944,13,1,ban,艾琳
2026011603,836780560_6_1768569944,14,2,ban,关羽
2026011603,836780560_6_1768569944,15,1,ban,敖隐
2026011603,836780560_6_1768569944,16,2,pick,孙尚香
2026011603,836780560_6_1768569944,17,1,pick,司空震
2026011603,836780560_6_1768569944,18,1,pick,嬴政
2026011603,836780560_6_1768569944,19,2,pick,老夫子
2026011402,48251408_36_1768384447,0,1,ban,狄仁杰
2026011402,48251408_36_1768384447,1,2,ban,盾山
2026011402,48251408_36_1768384447,2,1,ban,海月
2026011402,48251408_36_1768384447,3,2,ban,鲁班大师
2026011402,48251408_36_1768384447,4,1,pick,空空儿
2026011402,48251408_36_1768384447,5,2,pick,狂铁
2026011402,48251408_36_1768384447,6,2,pick,公孙离
