match_id,battle_id,team,player,hero,kill,death,assist,kda,gold,win
2026011603,836780560_6_1768569944,杭州LGD.NBW,小久,苍,0,2,1,0.5,7103,0
2026011603,836780560_6_1768569944,重庆狼队,信,张飞,1,1,9,10.0,6203,1
2026011603,836780560_6_1768569944,重庆狼队,皖皖,阿古朵,4,0,3,7.0,9659,1
2026011603,836780560_6_1768569944,杭州LGD.NBW,小崽,苏烈,0,3,2,0.7,5349,0
2026011603,836780560_6_1768569944,重庆狼队,紫幻,沈梦溪,2,0,8,10.0,7660,1
2026011603,836780560_6_1768569944,杭州LGD.NBW,小落,司空震,1,1,1,2.0,8251,0
2026011603,836780560_6_1768569944,杭州LGD.NBW,九尾,嬴政,0,1,1,1.0,6571,0
2026011603,836780560_6_1768569944,重庆狼队,清清,老夫子,2,0,5,7.0,8545,1
2026011603,836780560_6_1768569944,重庆狼队,道崽,孙尚香,2,1,4,6.0,9138,1
2026011402,48251408_36_1768384447,重庆狼队,信,苏烈,0,1,5,5.0,7294,1
2026011402,48251408_36_1768384447,深圳DYG,向鱼,小乔,0,1,1,1.0,6486,0
2026011402,48251408_36_1768384447,深圳DYG,小乐,曹操,0,3,1,0.3,9516,0
2026011402,48251408_36_1768384447,深圳DYG,落空,空空儿,1,1,0,1.0,6431,0
2026011402,48251408_36_1768384447,重庆狼队,紫幻,沈梦溪,1,0,5,6.0,9230,1
2026011402,48251408_36_1768384447,深圳DYG,小轩,裴擒虎,0,2,1,0.5,9466,0
2026011402,48251408_36_1768384447,重庆狼队,小胖,大司命,4,0,2,6.0,11234,1
2026011402,48251408_36_1768384447,深圳DYG,钎城,戈娅,0,1,1,1.0,11173,0
2026011402,48251408_36_1768384447,重庆狼队,道崽,公孙离,2,0,3,5.0,11896,1
2026011402,48251408_36_1768384447,重庆狼队,归期,狂铁,1,0,7,8.0,10650,1
2026011401,48251408_33_1768377049,北京JDG,绝意,敖隐,1,0,0,1.0,9050,0
2026011401,48251408_33_1768377049,北京JDG,无畏,朵莉亚,0,3,1,0.3,5770,0
2026011401,48251408_33_1768377049,武汉eStarPro,亮宇,狄仁杰,3,0,6,9.0,10599,1
2026011401,48251408_33_1768377049,武汉eStarPro,Fly,马超,2,1,3,5.0,10015,1
2026011401,48251408_33_1768377049,北京JDG,轻语,司空震,0,2,0,0.0,8496,0
2026011401,48251408_33_1768377049,武汉eStarPro,小楼,元流之子(坦克),1,0,7,8.0,9426,1
2026011401,48251408_33_1768377049,武汉eStarPro,紫渊,鲁班大师,0,0,9,9.0,6809,1
2026011401,48251408_33_1768377049,北京JDG,无双,杨戬,0,2,1,0.5,7895,0
